"school_number","school_type","city","percentage_of_students_whose_first_language_is_not_english","percentage_of_students_that_passed_the_grade_10_osslt_on_their_first_attempt","percentage_of_students_receiving_special_education_services","percentage_of_students_identified_as_gifted","percentage_of_school_aged_children_who_live_in_low_income_households","percentage_of_students_whose_parents_have_no_degree_diploma_or_certificate"
"935832","public","mississauga","45","92","20","0","20","4"
"938009","public","mississauga","74","83","11","0","18","6"
"939596","public","brampton","71","81","20","0","10","10"
"962646","public","mississauga","79","87","8","0","22","3"
"945978","public","mississauga","40","91","12","0","13","4"
"948187","public","mississauga","76","83","20","0","28","7"
"954403","public","mississauga","63","93","11","36","18","6"
"918440","public","brampton","58","84","25","0","14","9"
"951404","public","mississauga","35","20","95","0","21","6"
"704261","catholic","peterborough","5","73","32","1","16","4"
"720240","catholic","courtice","4","78","25","1","6","2"
"830410","catholic","cobourg","3","76","24","0","12","2"
"845361","catholic","peterborough","5","73","26","1","13","4"
"851116","catholic","bowmanville","3","77","24","0","7","3"
"855006","catholic","lindsay","0","64","35","0","10","10"
"932302","provincial","brantford","0","33","100","0","0","0"
"901121","public","chelmsford","0","48","50","0","10","5"
"895237","public","val caron","0","61","30","0","10","0"
"909319","public","espanola","0","55","35","0","10","15"
"920622","public","sudbury","2","69","31","0","18","3"
"923354","public","lively","5","67","30","0","5","5"
"923486","public","sudbury","4","88","19","0","8","1"
"923613","public","sudbury","5","90","15","0","10","0"
"924679","public","m'chigeeng","0","57","30","0","5","10"
"941298","public","sudbury","5","73","30","0","20","5"
"892939","public","atikokan","0","83","25","0","10","0"
"910872","public","fort frances","5","62","28","0","10","8"
"937657","public","rainy river","0","69","20","0","10","10"
"689939","catholic","pembroke","1","70","30","0","11","4"
"814962","catholic","renfrew","0","83","25","0","10","10"
"892416","public","arnprior","2","86","22","0","13","3"
"925365","public","pembroke","2","59","29","0","13","4"
"904767","public","deep river","5","82","20","0","5","5"
"924431","public","barry's bay","0","68","30","0","10","10"
"932434","public","douglas","0","67","20","0","10","0"
"937916","public","renfrew","0","79","45","0","10","10"
"902747","public","petawawa","5","57","20","0","5","5"
"893064","public","alliston","4","75","19","1","8","5"
"893323","public","barrie","6","76","26","7","17","8"
"894060","public","barrie","7","76","18","0","10","3"
"895792","public","bradford","21","88","18","1","11","7"
"902551","public","collingwood","3","89","21","2","15","7"
"907383","public","barrie","7","89","23","1","12","8"
"908274","public","elmvale","0","85","25","0","15","5"
"928151","public","midland","2","64","20","1","12","4"
"918253","public","barrie","9","79","19","1","10","3"
"927724","public","innisfil","6","84","20","0","10","10"
"902636","public","angus","4","65","26","1","9","6"
"968729","public","orillia","2","82","26","1","12","8"
"945196","public","stayner","0","71","30","0","10","0"
"948870","public","orillia","2","58","24","1","13","5"
"711098","catholic","bradford","16","81","20","2","11","7"
"723630","catholic","collingwood","5","81","20","0","10","0"
"751103","catholic","orillia","1","76","19","1","11","8"
"786691","catholic","bracebridge","0","70","35","0","10","0"
"801275","catholic","barrie","5","70","21","0","9","4"
"813389","catholic","barrie","6","72","20","1","15","9"
"844012","catholic","barrie","6","78","19","1","10","5"
"852775","catholic","midland","1","68","27","0","12","5"
"773050","catholic","tottenham","5","74","19","1","7","5"
"836788","catholic","sarnia","1","76","30","0","12","2"
"864366","catholic","chatham","1","81","29","0","13","9"
"689351","catholic","hanmer","0","75","20","0","10","0"
"730963","catholic","sudbury","10","89","10","0","10","0"
"777196","catholic","sudbury","5","92","20","0","10","0"
"783358","catholic","sudbury","5","84","26","0","15","2"
"912565","public","geraldton","0","44","45","0","20","30"
"940666","public","terrace bay","0","78","20","0","10","10"
"924652","public","manitouwadge","0","50","30","0","10","10"
"924784","public","marathon","0","52","35","0","5","5"
"929336","public","red rock","0","40","30","0","10","5"
"890073","public","london","32","84","9","3","15","3"
"892670","public","st thomas","0","32","50","0","25","10"
"947148","public","london","5","0","95","0","30","10"
"899305","public","st thomas","4","82","16","2","14","4"
"901644","public","london","7","45","29","1","21","14"
"902420","public","woodstock","3","43","34","1","11","9"
"906581","public","aylmer","20","68","17","0","11","38"
"912824","public","glencoe","0","63","25","0","20","0"
"912956","public","tillsonburg","1","64","16","1","9","15"
"914908","public","london","24","67","19","2","22","8"
"918024","public","woodstock","7","64","17","1","9","6"
"918156","public","ingersoll","1","59","21","1","9","5"
"923745","public","london","43","97","9","10","18","5"
"923877","public","london","14","80","13","2","20","6"
"904503","public","dorchester","5","82","20","5","5","0"
"925560","public","arva","8","77","17","4","8","2"
"927430","public","london","33","41","30","1","34","22"
"930113","public","parkhill","0","61","20","0","5","0"
"931934","public","london","24","86","13","4","15","3"
"944939","public","st thomas","2","65","21","2","12","4"
"940437","public","london","21","61","24","1","18","5"
"941743","public","london","32","82","15","3","20","4"
"942162","public","london","17","78","16","2","19","8"
"945846","public","strathroy","1","76","25","3","9","5"
"951439","public","west lorne","5","51","20","0","10","10"
"952346","public","london","60","79","20","0","30","10"
"954551","public","woodstock","3","76","17","3","10","6"
"798193","catholic","thunder bay","5","83","9","0","11","3"
"687111","catholic","thunder bay","2","69","7","0","12","6"
"689360","catholic","toronto","28","92","14","9","13","5"
"691798","catholic","toronto","48","93","29","0","26","19"
"690961","catholic","toronto","51","75","17","3","25","6"
"694550","catholic","toronto","22","98","8","5","20","6"
"695947","catholic","toronto","26","81","17","2","20","16"
"702935","catholic","toronto","63","86","22","0","22","20"
"707589","catholic","toronto","32","73","17","0","28","26"
"731951","catholic","toronto","27","94","14","10","14","5"
"707708","catholic","toronto","36","83","19","2","24","12"
"723096","catholic","toronto","54","54","18","1","32","25"
"728055","catholic","toronto","28","92","8","3","18","7"
"728063","catholic","toronto","40","86","25","0","20","20"
"729019","catholic","toronto","50","72","15","0","26","20"
"730653","catholic","toronto","54","91","18","2","21","12"
"730882","catholic","toronto","35","90","8","6","24","12"
"731820","catholic","toronto","28","84","15","5","17","7"
"732443","catholic","toronto","35","80","21","1","25","20"
"734080","catholic","toronto","20","78","24","2","20","7"
"738115","catholic","toronto","32","92","16","2","25","9"
"763772","catholic","toronto","41","91","12","6","26","7"
"776360","catholic","toronto","36","76","23","1","25","23"
"723428","catholic","toronto","55","73","20","0","28","13"
"694193","catholic","scarborough","33","87","19","1","25","10"
"751537","catholic","toronto","34","82","14","2","20","10"
"815160","catholic","toronto","60","90","10","0","30","0"
"814954","catholic","toronto","37","91","14","3","26","12"
"689831","catholic","toronto","51","89","20","3","25","17"
"834718","catholic","toronto","20","100","0","30","20","0"
"733024","catholic","toronto","25","78","25","0","30","15"
"685550","catholic","toronto","56","65","32","0","24","22"
"838268","catholic","toronto","46","93","23","1","32","12"
"890227","public","toronto","72","87","13","14","25","4"
"890723","public","agincourt","66","96","13","2","24","16"
