"school_type","board_name","osslt_passes","esl_students","se_students","gifted_students","low_income_household","no_degree_parents"
"public","peel dsb","79","53","20","0","12","4"
"public","peel dsb","82","75","18","0","14","9"
"public","peel dsb","89","62","14","0","13","9"
"public","peel dsb","92","45","20","0","20","4"
"public","peel dsb","83","74","11","0","18","6"
"public","peel dsb","81","71","20","0","10","10"
"public","peel dsb","87","79","8","0","22","3"
"public","peel dsb","91","40","12","0","13","4"
"public","peel dsb","83","76","20","0","28","7"
"public","peel dsb","93","63","11","36","18","6"
"public","peel dsb","84","58","25","0","14","9"
"public","peel dsb","20","35","95","0","21","6"
"catholic","peterborough victoria northum clarington cdsb","73","5","32","1","16","4"
"catholic","peterborough victoria northum clarington cdsb","78","4","25","1","6","2"
"catholic","peterborough victoria northum clarington cdsb","76","3","24","0","12","2"
"catholic","peterborough victoria northum clarington cdsb","73","5","26","1","13","4"
"catholic","peterborough victoria northum clarington cdsb","77","3","24","0","7","3"
"catholic","peterborough victoria northum clarington cdsb","64","0","35","0","10","10"
"provincial","provincial and demonstration schools","33","0","100","0","0","0"
"public","rainbow dsb","48","0","50","0","10","5"
"public","rainbow dsb","61","0","30","0","10","0"
"public","rainbow dsb","55","0","35","0","10","15"
"public","rainbow dsb","69","2","31","0","18","3"
"public","rainbow dsb","67","5","30","0","5","5"
"public","rainbow dsb","88","4","19","0","8","1"
"public","rainbow dsb","90","5","15","0","10","0"
"public","rainbow dsb","57","0","30","0","5","10"
"public","rainbow dsb","73","5","30","0","20","5"
"public","rainy river dsb","83","0","25","0","10","0"
"public","rainy river dsb","62","5","28","0","10","8"
"public","rainy river dsb","69","0","20","0","10","10"
"catholic","renfrew county cdsb","70","1","30","0","11","4"
"catholic","renfrew county cdsb","83","0","25","0","10","10"
"public","renfrew county dsb","86","2","22","0","13","3"
"public","renfrew county dsb","59","2","29","0","13","4"
"public","renfrew county dsb","82","5","20","0","5","5"
"public","renfrew county dsb","68","0","30","0","10","10"
"public","renfrew county dsb","67","0","20","0","10","0"
"public","renfrew county dsb","79","0","45","0","10","10"
"public","renfrew county dsb","57","5","20","0","5","5"
"public","simcoe county dsb","75","4","19","1","8","5"
"public","simcoe county dsb","76","6","26","7","17","8"
"public","simcoe county dsb","76","7","18","0","10","3"
"public","simcoe county dsb","88","21","18","1","11","7"
"public","simcoe county dsb","89","3","21","2","15","7"
"public","simcoe county dsb","89","7","23","1","12","8"
"public","simcoe county dsb","85","0","25","0","15","5"
"public","simcoe county dsb","64","2","20","1","12","4"
"public","simcoe county dsb","79","9","19","1","10","3"
"public","simcoe county dsb","84","6","20","0","10","10"
"public","simcoe county dsb","65","4","26","1","9","6"
"public","simcoe county dsb","82","2","26","1","12","8"
"public","simcoe county dsb","71","0","30","0","10","0"
"public","simcoe county dsb","58","2","24","1","13","5"
"catholic","simcoe muskoka cdsb","81","16","20","2","11","7"
"catholic","simcoe muskoka cdsb","81","5","20","0","10","0"
"catholic","simcoe muskoka cdsb","76","1","19","1","11","8"
"catholic","simcoe muskoka cdsb","70","0","35","0","10","0"
"catholic","simcoe muskoka cdsb","70","5","21","0","9","4"
"catholic","simcoe muskoka cdsb","72","6","20","1","15","9"
"catholic","simcoe muskoka cdsb","78","6","19","1","10","5"
"catholic","simcoe muskoka cdsb","68","1","27","0","12","5"
"catholic","simcoe muskoka cdsb","74","5","19","1","7","5"
"catholic","st clair cdsb","76","1","30","0","12","2"
"catholic","st clair cdsb","81","1","29","0","13","9"
"catholic","sudbury cdsb","75","0","20","0","10","0"
"catholic","sudbury cdsb","89","10","10","0","10","0"
"catholic","sudbury cdsb","92","5","20","0","10","0"
"catholic","sudbury cdsb","84","5","26","0","15","2"
"public","superior-greenstone dsb","44","0","45","0","20","30"
"public","superior-greenstone dsb","78","0","20","0","10","10"
"public","superior-greenstone dsb","50","0","30","0","10","10"
"public","superior-greenstone dsb","52","0","35","0","5","5"
"public","superior-greenstone dsb","40","0","30","0","10","5"
"public","thames valley dsb","84","32","9","3","15","3"
"public","thames valley dsb","32","0","50","0","25","10"
"public","thames valley dsb","0","5","95","0","30","10"
"public","thames valley dsb","82","4","16","2","14","4"
"public","thames valley dsb","45","7","29","1","21","14"
"public","thames valley dsb","43","3","34","1","11","9"
"public","thames valley dsb","68","20","17","0","11","38"
"public","thames valley dsb","63","0","25","0","20","0"
"public","thames valley dsb","64","1","16","1","9","15"
"public","thames valley dsb","67","24","19","2","22","8"
"public","thames valley dsb","64","7","17","1","9","6"
"public","thames valley dsb","59","1","21","1","9","5"
"public","thames valley dsb","97","43","9","10","18","5"
"public","thames valley dsb","80","14","13","2","20","6"
"public","thames valley dsb","82","5","20","5","5","0"
"public","thames valley dsb","77","8","17","4","8","2"
"public","thames valley dsb","41","33","30","1","34","22"
"public","thames valley dsb","61","0","20","0","5","0"
"public","thames valley dsb","86","24","13","4","15","3"
"public","thames valley dsb","65","2","21","2","12","4"
"public","thames valley dsb","61","21","24","1","18","5"
"public","thames valley dsb","82","32","15","3","20","4"
"public","thames valley dsb","78","17","16","2","19","8"
"public","thames valley dsb","76","1","25","3","9","5"
"public","thames valley dsb","51","5","20","0","10","10"
"public","thames valley dsb","79","60","20","0","30","10"
"public","thames valley dsb","76","3","17","3","10","6"
"catholic","thunder bay cdsb","83","5","9","0","11","3"
"catholic","thunder bay cdsb","69","2","7","0","12","6"
"catholic","toronto cdsb","92","28","14","9","13","5"
"catholic","toronto cdsb","93","48","29","0","26","19"
"catholic","toronto cdsb","75","51","17","3","25","6"
"catholic","toronto cdsb","98","22","8","5","20","6"
"catholic","toronto cdsb","81","26","17","2","20","16"
